doi,status_code,final_url,domain,resolved,redirect_count,redirect_chain,error
10.1002/advs.202512535,403,https://advanced.onlinelibrary.wiley.com/doi/10.1002/advs.202512535,advanced.onlinelibrary.wiley.com,True,1,https://doi.org/10.1002/advs.202512535 -> https://advanced.onlinelibrary.wiley.com/doi/10.1002/advs.202512535,
10.3390/nu17223572,200,https://www.mdpi.com/2072-6643/17/22/3572,mdpi.com,True,1,https://doi.org/10.3390/nu17223572 -> https://www.mdpi.com/2072-6643/17/22/3572,
10.3389/fimmu.2025.1693674,200,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2025.1693674/full,frontiersin.org,True,1,https://doi.org/10.3389/fimmu.2025.1693674 -> https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2025.1693674/full,
10.3390/pharmaceutics17111410,200,https://www.mdpi.com/1999-4923/17/11/1410,mdpi.com,True,1,https://doi.org/10.3390/pharmaceutics17111410 -> https://www.mdpi.com/1999-4923/17/11/1410,
10.1007/s00204-025-04252-4,200,https://link.springer.com/article/10.1007/s00204-025-04252-4,link.springer.com,True,1,https://doi.org/10.1007/s00204-025-04252-4 -> https://link.springer.com/article/10.1007/s00204-025-04252-4,
10.1038/s41467-025-67331-1,200,https://www.nature.com/articles/s41467-025-67331-1,nature.com,True,1,https://doi.org/10.1038/s41467-025-67331-1 -> https://www.nature.com/articles/s41467-025-67331-1,
10.1080/17435889.2025.2587715,403,https://www.tandfonline.com/doi/full/10.1080/17435889.2025.2587715,tandfonline.com,True,1,https://doi.org/10.1080/17435889.2025.2587715 -> https://www.tandfonline.com/doi/full/10.1080/17435889.2025.2587715,
10.1016/j.ejps.2025.107386,200,https://linkinghub.elsevier.com/retrieve/pii/S0928098725003835,linkinghub.elsevier.com,True,1,https://doi.org/10.1016/j.ejps.2025.107386 -> https://linkinghub.elsevier.com/retrieve/pii/S0928098725003835,
10.1101/2025.10.30.685635,403,https://www.biorxiv.org/lookup/doi/10.1101/2025.10.30.685635,biorxiv.org,True,1,https://doi.org/10.1101/2025.10.30.685635 -> https://www.biorxiv.org/lookup/doi/10.1101/2025.10.30.685635,
10.1016/j.bioactmat.2025.09.007,200,https://linkinghub.elsevier.com/retrieve/pii/S2452199X2500413X,linkinghub.elsevier.com,True,1,https://doi.org/10.1016/j.bioactmat.2025.09.007 -> https://linkinghub.elsevier.com/retrieve/pii/S2452199X2500413X,
